Indonesia,Andap,Alus Sor,Alus Singgih,Alus Mider,Mider
abdi laki-laki,parekan,,,ceraka,
abdi perempuan,panyroan,,,wangjero,
abdi wanita,,,,,penyeroan
"absensi,hitung yang datang",,,,,"cacak,nyacak"
abu,"aon, abu","awu, abu","awu, abu",,
abu,abu,,,awu,
abu api,aon,,,basma,
abu rokok,,,,,pungpungan
"ada, mengadakan","ada, ngadang",,,"wenten, ngawentenang",
"adakan, mengadakan",,,,,"tangun, nangun"
"adat, kebiasaan, tradisi",,,,,dresta
adik,adi,adi,"rai, rai, anten",,
adil,"adil, patut, darma",adil,adil,,
adu,adu,,,centok,
"adu, satu lawan satu",,,,,centok
"aduk, mengaduk","aduk, ngaduk",,,"adon, ngadonang",
agak,,,,,sada
agak gelap,,,,,remrem
agak kering sehabis becek,,,,,keted
agak masuk ke dalam,,,,,"keled, makeledan"
agak tuli,,,,,prereng
agar,"apang, pang",mangda,mangda,,
"agar, supaya",apan,,,antukan,
"agar, supaya",apang,,,"mangda, mangdane",
"agresif, tak pernah khawatir",,,,,lagas
air,yeh,toya,"tirtabanyu, toya",,
air,yeh,,,toya,
air,,,,,tonya
air cucian beras,banyun baas,,,langsuan,
air cucian beras,,,,,banyu
air hujan masuk dari samping,,,,,"tampias, tampiasan"
air kencing,enceh,panyuh,warih,,
air mancur cukup besar,,,,,"kecor, ngecor"
air mancur kecil,,,,,"kecir, ngecir"
air mani,pejuh,pejuh,kama,,
air mani,pejuh,,,smara,
air mata,yeh mata,toyan paninggalan,toyan panyingakan,,
"air muka, raut muka",sebeng,semita,swabawa,,
air suci,,,,,tirta
air suci untuk sumpah,,,,,cor
air susu binatang,,,,,"empeh, empehan"
air terjun,,,,,grobangan
airnya keluar memencar,,,,,"trebes, nrebes"
ajak,ajak,ajak,iring,,
ajak,ajak,,,iring,
akan,bakal,,,"pacang, jagi",
akan,lakar,,,"pacang, jagi",
"akan, ayat",,,,,praya
"akan, mau","lakar, bakal, jagi","pacang, jagi","jagi, pacang",,
akar,akah,,,akar,
akar yang lurus ke bawah,,,,,pancer
akhir,panyuud,panelas,"pamuput, pingungkur, pinih ungkur",,
"akhir, penghabisan",panyuwud,pamuput,panelas,,
akhirnya,pameragatne,pamuputipun,pamuputipun,,
akibat,,,,,puara
"akibat, hasil","penadi, pekolih",penaden,penadosan,,
"akrab, dekat, intim",leket,,,rumaket,
akui,aku,,,angken,
akui,akuin,,,angkenin,
alamat,"alamat, tongos, tonggos",ganahipun,linggih,,
alas,aled,,,taled,
alas dari daun untuk mewadahi ebatan Bali,,,,,taledan
alas dari kayu yang tebal,,,,,talenan
alas menumbuk padi,,,,,ketungan
alas periuk,,,,,lekeh
alasan,,,,,"tangkis, dalih"
"alasan, dasar pertimbangan",,,,,larapan
alat kelamin laki/perempuan,,,,,prana
alat menangkap ikan,,,,,bubu
alat menjungjung di atas kepala,,,,,sunan
alat meratakan tanah,,,,,lampit
alat musik tradisional Bali,,,,,gamelan
alat pemukul gamelan,,,,,panggul
alat pencatut bulu,,,,,catut
"alat penerang, alat berkaca",,,,,suluh
alat penutup,,,,,tabeng
"alat, perkakas",pekakas,"perabot, piranti","prabot, piranti",,
alat-alat,,,,,prabot 
"alir, mengalir",,,,,"embah, membah"
"alis, kening",alis,alis,"wimba, rarik",,
"aman, lestari, damai",degdeg,,,"trepti, rajeg, santi",
"aman, sentosa",aman,,,trepti,
amat marah,,,,,brangti
amat parau,,,,,seret
"amat, sangat","sangat, gati","benget, dahat","banget, rahat",,
ambang pintu,,,,,obag-obag
ambar,,,,,nyem
ambar,,,,,nyem
ambil,"jemak, juang, jemakin",ambil,"ambil, ambilin",,
ambil,"duduk, nuduk",,,"ambil, ngambil",
ambil,jemak,,,ambil,
ambil dengan ujung jari,,,,,"cokot, jokot, nyokot"
