indonesia,andap,aso,asi
abu,aon_abu,awuabu,awuabu
abu_debu,ebuk_buk,awu_abu,awu_abu
adik laki,adi muani,ari,rai_ari
adik perempuan,adi luh,rai isteri,rai isteri
adil,adil_patut_darma,adil,adil
agar,apang_pang,mangda,mangda
air,yeh,toya,tirtabanyu_toya
air mata,yeh mata,toyan penyingakan,waspa
akan,lakar_bakal_jagi,pacang_jagi,jagi_pacang
akan_nanti_hendak,lakar_bakal_jagi,pacang_jaga_praya,jagi_pacang_praya
akar,akah,NULL,NULL
akhir,panyuud,panelas,pamuput_pingungkur_pinihungkur
akhir_penghabisan,panyuwud,pamuput,panelas
akhirnya,pameragatne,pamuputipun,pamuputipun
akibat_hasil,penadi_pekolih,penaden,penadosan
alamat,alamat_tongos_tonggos,ganahipun,linggih
alat_perkakas,pekakas,perabot_piranti,prabot_piranti
alis,alis,kening_tarja,tarja
alis,alis,NULL,mimba
amat_sangat,sangat_gati,benget_dahat,banget_rahat
ambar,nyem,nyeb_enyeb,NULL
ampun_pengampunan,pangampura,pangaksama,pangampura
anai anai,tetani,tetani,tetani
anak kedua,made_kadek_nengah,NULL,NULL
anak keempat,ketut,NULL,NULL
anak ketiga,nyoman_komang,NULL,NULL
anak laki laki,pianak muani,okalanang,NULL
anak laki laki_putra laki laki,cerik muani,anak alit lanang,putra lanang
anak muda_muda mudi,taruna taruni,anom_aloka,anom_aloka
andaikata,lamun_upama,upami,umpami
anggota,awak,raga,angga
anggur,anggur,NULL,NULL
angin,angin,bayu,bayu
angin sepoi sepoi,nyirsir,NULL,NULL
angsa,angsa,angsa,angsa
anjing,cicing,asu,asu
apa,apa,napi,punapi
apalagi,ababuin,napimalih,punapimalih
api,api,geni,geni
arloji_jam,jam,jam,jam
asah,sangih_ngipuh,tatah,tatah
asal,wit_kawit,pangawit,pancer
asam,masem,kecut,kecut
asap,andus,asep,asep
asing_aneh_ajaib,aeng_baneh_soleh,jawi,NULL
asli,mula_jatimula,nedan,asli_nedan
asrama_kos,asrama,asrama,pesraman
asyik_asik,itep_seleg,seleg,seleg
atap,raab_randah,NULL,NULL
atau,wiadin,wiadin/utawi,wiadin/utawi
aturan,ugeruger,pidabdab,pidabdab
awan,gulem_ambun,mega,mega
awasi_pelihara_mengawasi,piara,perdi,perdi
ayam,siyap_manuk,ayam,ayam
ayam jantan,siap muani_kurungan,ayam jago_manuk,ayam jago_manuk
ayam jantan,kurungan_siap muani,kurungan_manuk,ayam muani
babi,celeng,bawi,bawi
bagaimana,kenken,asapunapi,sapunapi
bagus,luwung_bagus_melah,becik,becik
bagus_baik_indah,luwung_bagus,becik,becik
bahagian,duman_bagian_pahan,duman,duman
bahaya,baya,baya,baya
bahwa,unduk,indik,parindik
baik,melah,becik,becik
baik_pantes,pantes,asin,NULL
baiklah,nah,inggih,inggih
bajak,tengala,waluku,waluku
baju_pakaian,bajukelambi,kuaca,kuaca
bakarmayat,aben_ngaben,lebu,melebu
bakat_pembawaan,aba_abaan,babaktan,babaktan
bakul_keranjang,keranjang,keranjang,keranjang
